nas;raion
с.БАЙРАКИ;Герцаївський
с.БАНЧЕНИ;Герцаївський
с.БУКІВКА;Герцаївський
с.ЦУРЕНЬ;Герцаївський
с.ДЯКІВЦІ;Герцаївський
м.ГЕРЦА;Герцаївський
с.ГОДИНІВКА;Герцаївський
с.ГОРБОВА;Герцаївський
с.ХРЯЦЬКА;Герцаївський
с.КРУП'ЯНСЬКЕ;Герцаївський
с.КУЛИКІВКА;Герцаївський
с.ЛУНКА;Герцаївський
с.МАЛА БУДА;Герцаївський
с.МАМОРНИЦЯ;Герцаївський
с.МОГИЛІВКА;Герцаївський
с.МОЛНИЦЯ;Герцаївський
с.ОСТРИЦЯ;Герцаївський
с.ПЕТРАШІВКА;Герцаївський
с.ПІДВАЛЬНЕ;Герцаївський
с.РАДГОСПІВКА;Герцаївський
с.ТЕРНАВКА;Герцаївський
с.ВЕЛИКА БУДА;Герцаївський
с.ВЕЛИКОСІЛЛЯ;Герцаївський
с.БАГРИНІВКА;Глибоцький
с.БІЛА КРИНИЦЯ;Глибоцький
с.ЧАГОР;Глибоцький
с.ЧЕРЕПКІВЦІ;Глибоцький
с.ЧЕРВОНА ДІБРОВА;Глибоцький
с.ДИМКА;Глибоцький
смт.ГЛИБОКА;Глибоцький
с.ГОРБІВЦІ;Глибоцький
с.ГРУШІВКА;Глибоцький
с.КАМ'ЯНКА;Глибоцький
с.КАРАПЧІВ;Глибоцький
с.КОРЧІВЦІ;Глибоцький
с.КОРОВІЯ;Глибоцький
с.КУПКА;Глибоцький
с.КУТ;Глибоцький
с.ЛУКОВИЦЯ;Глибоцький
с.МОЛОДІЯ;Глибоцький
с.МИХАЙЛІВКА;Глибоцький
с.НОВИЙ ВОВЧИНЕЦЬ;Глибоцький
с.НИЖНІ СИНІВЦІ;Глибоцький
с.ПЕТРИЧАНКА;Глибоцький
с.ПОЛЯНА;Глибоцький
с.ПРОСІКА;Глибоцький
с.ПРОСОКИРЯНИ;Глибоцький
с.ПРИВОРОКИ;Глибоцький
с.СЛОБІДКА;Глибоцький
с.СТАНІВЦІ;Глибоцький
с.СТАРИЙ ВОВЧИНЕЦЬ;Глибоцький
с.СТЕРЧЕ;Глибоцький
с.ТАРАШАНИ;Глибоцький
с.ТУРЯТКА;Глибоцький
с.ВАЛЯ КУЗЬМИНА;Глибоцький
с.ВЕРХНІ СИНІВЦІ;Глибоцький
с.ВОЛОКА;Глибоцький
с.АНАДОЛИ;Хотинський
с.АТАКИ;Хотинський
с.БІЛІВЦІ;Хотинський
с.БЛИЩАДЬ;Хотинський
с.БОЧКІВЦІ;Хотинський
с.ЧЕПОНОСИ;Хотинський
с.ДАНЬКІВЦІ;Хотинський
с.ДОЛИНЯНИ;Хотинський
с.ГОРДІВЦІ;Хотинський
с.ГРОЗИНЦІ;Хотинський
с.ГРИНЯЧКА;Хотинський
м.ХОТИН;Хотинський
с.КАПЛІВКА;Хотинський
с.КЕРСТЕНЦІ;Хотинський
с.КЛІШКІВЦІ;Хотинський
с.КОЛІНКІВЦІ;Хотинський
с.КРУГЛИК;Хотинський
с.КРУТЕНЬКИ;Хотинський
с.МАЛИНЦІ;Хотинський
с.МЛИНКИ;Хотинський
с.НЕДОБОЇВЦІ;Хотинський
с.ОРЕСТІВКА;Хотинський
с.ПАШКІВЦІ;Хотинський
с.ПЕРЕБИКІВЦІ;Хотинський
с.ПОЛЯНА;Хотинський
с.ПРИГОРОДОК;Хотинський
с.РАШКІВ;Хотинський
с.РУХОТИН;Хотинський
с.РУКШИН;Хотинський
с.САНКІВЦІ;Хотинський
с.ШИЛІВЦІ;Хотинський
с.ШИРІВЦІ;Хотинський
с.СТАВЧАНИ;Хотинський
с.ВЛАДИЧНА;Хотинський
с.ВОРНИЧАНИ;Хотинський
с.ЯРІВКА;Хотинський
с.ЗАРОЖАНИ;Хотинський
с.ЗЕЛЕНА ЛИПА;Хотинський
с.БАБИН;Кельменецький
с.БЕРНОВЕ;Кельменецький
с.БРАЇЛІВКА;Кельменецький
с.БУРДЮГ;Кельменецький
с.БУЗОВИЦЯ;Кельменецький
с.ДНІСТРІВКА;Кельменецький
с.ГРУШІВЦІ;Кельменецький
с.ІВАНІВЦІ;Кельменецький
смт.КЕЛЬМЕНЦІ;Кельменецький
с.КОМАРІВ;Кельменецький
с.КОНОВКА;Кельменецький
с.КОЗИРЯНИ;Кельменецький
с.КРОКВА;Кельменецький
с.ЛЕНКІВЦІ;Кельменецький
с.ЛІВИНЦІ;Кельменецький
с.ЛУКАЧІВКА;Кельменецький
с.МАЙОРКА;Кельменецький
с.МАКАРІВКА;Кельменецький
с.МОШАНЕЦЬ;Кельменецький
с.МИХАЙЛІВКА;Кельменецький
с.НАГОРЯНИ;Кельменецький
с.НЕЛИПІВЦІ;Кельменецький
с.НОВОСЕЛИЦЯ;Кельменецький
с.ОСЕЛІВКА;Кельменецький
с.ПЕРКІВЦІ;Кельменецький
с.ПОДВІР'ЇВКА;Кельменецький
с.ПУТРИНЕ;Кельменецький
с.РОСОШАНИ;Кельменецький
с.СЛОБІДКА;Кельменецький
с.ВАРТИКІВЦІ;Кельменецький
с.ВОРОНОВИЦЯ;Кельменецький
с.ВОВЧИНЕЦЬ;Кельменецький
с.ЗЕЛЕНА;Кельменецький
с.БЕРЕГОМЕТ;Кіцманський
с.БІЛА;Кіцманський
с.БОРІВЦІ;Кіцманський
с.БРУСЕНКИ;Кіцманський
с.БРУСНИЦЯ;Кіцманський
с.БУРДЕЙ;Кіцманський
с.ЧОРТОРИЯ;Кіцманський
с.ДАВИДІВЦІ;Кіцманський
с.ДІБРОВА;Кіцманський
с.ДРАЧИНЦІ;Кіцманський
с.ДУБІВЦІ;Кіцманський
с.ГАВРИЛІВЦІ;Кіцманський
с.ГЛИНИЦЯ;Кіцманський
с.ХЛІВИЩЕ;Кіцманський
с.ІВАНКІВЦІ;Кіцманський
м.КІЦМАНЬ;Кіцманський
с.КЛІВОДИН;Кіцманський
с.КЛОКІЧКА;Кіцманський
с.КОРОСТУВАТА;Кіцманський
с.КИСЕЛІВ;Кіцманський
с.ЛАШКІВКА;Кіцманський
смт.ЛУЖАНИ;Кіцманський
с.МАЛЯТИНЦІ;Кіцманський
смт.НЕПОЛОКІВЦІ;Кіцманський
с.НОВІ ДРАЧИНЦІ;Кіцманський
с.НИЖНІ СТАНІВЦІ;Кіцманський
с.ОРШІВЦІ;Кіцманський
с.ОШИХЛІБИ;Кіцманський
с.ОСТРА;Кіцманський
с.П'ЯДИКІВЦІ;Кіцманський
с.РЕВАКІВЦІ;Кіцманський
с.РЕВНЕ;Кіцманський
с.ШИПИНЦІ;Кіцманський
с.ШИШКІВЦІ;Кіцманський
с.СТАВЧАНИ;Кіцманський
с.СТРІЛЕЦЬКИЙ КУТ;Кіцманський
с.ВАЛЯВА;Кіцманський
с.ВЕРХНІ СТАНІВЦІ;Кіцманський
с.ВИНОГРАД;Кіцманський
с.ВИТИЛІВКА;Кіцманський
с.ЮЖИНЕЦЬ;Кіцманський
с.ЗЕЛЕНІВ;Кіцманський
м.ЧЕРНІВЦІ;м Чернівці
с.БАЛЬКІВЦІ;Новоселицький
с.БЕРЕСТЯ;Новоселицький
с.БОЯНІВКА;Новоселицький
с.БОЯНИ;Новоселицький
с.БУДА;Новоселицький
с.ЧЕРЛЕНІВКА;Новоселицький
с.ЧОРНІВКА;Новоселицький
с.ЩЕРБИНЦІ;Новоселицький
с.ДОВЖОК;Новоселицький
с.ДРАНИЦЯ;Новоселицький
с.ДУМЕНИ;Новоселицький
с.ДИНІВЦІ;Новоселицький
с.ФОРОСНА;Новоселицький
с.ГАЙ;Новоселицький
с.КОШУЛЯНИ;Новоселицький
с.КОСТИЧАНИ;Новоселицький
с.КОТЕЛЕВЕ;Новоселицький
с.МАГАЛА;Новоселицький
с.МАЛИНІВКА;Новоселицький
с.МАМАЛИГА;Новоселицький
с.МАРШИНЦІ;Новоселицький
с.НЕГРИНЦІ;Новоселицький
с.НЕСВОЯ;Новоселицький
с.НОВОІВАНКІВЦІ;Новоселицький
м.НОВОСЕЛИЦЯ;Новоселицький
с.ОСТРИЦЯ;Новоселицький
с.ПОДВІРНЕ;Новоселицький
с.ПРИПРУТТЯ;Новоселицький
с.РЕВКІВЦІ;Новоселицький
с.РІДКІВЦІ;Новоселицький
с.РОКИТНЕ;Новоселицький
с.РИНГАЧ;Новоселицький
с.ШИШКІВЦІ;Новоселицький
с.СЛОБОДА;Новоселицький
с.СТАЛЬНІВЦІ;Новоселицький
с.СТРОЇНЦІ;Новоселицький
с.ТАРАСІВЦІ;Новоселицький
с.ТОПОРІВЦІ;Новоселицький
с.ВАНЧИКІВЦІ;Новоселицький
с.ВАНЧИНЕЦЬ;Новоселицький
с.ЗЕЛЕНИЙ ГАЙ;Новоселицький
с.ЖИЛІВКА;Новоселицький
с.АНДРЕКІВСЬКЕ;Путильський
с.БІСКІВ;Путильський
с.ДОВГОПІЛЛЯ;Путильський
с.ДИХТИНЕЦЬ;Путильський
с.ФОШКИ;Путильський
с.ГАЛИЦІВКА;Путильський
с.ГОЛОШИНА;Путильський
с.ГРЕБЛИНА;Путильський
с.ГРОБИЩЕ;Путильський
с.ХОРОВИ;Путильський
с.КОНЯТИН;Путильський
с.КИСЕЛИЦІ;Путильський
с.ЛУСТУН;Путильський
с.МАЛИЙ ДИХТИНЕЦЬ;Путильський
с.МАРИНИЧІ;Путильський
с.МІЖБРОДИ;Путильський
с.НИЖНІЙ ЯЛОВЕЦЬ;Путильський
с.ОКОЛЕНА;Путильський
с.ПАРКУЛИНА;Путильський
с.ПЕТРАШІ;Путильський
с.ПІДЗАХАРИЧІ;Путильський
с.ПЛАЙ;Путильський
с.ПЛОЩІ;Путильський
с.ПЛОСКА;Путильський
с.ПЛИТА;Путильський
с.ПОЛЯКІВСЬКЕ;Путильський
смт.ПУТИЛА;Путильський
с.РОЗТОКИ;Путильський
с.РУСЬКА;Путильський
с.РИПЕНЬ;Путильський
с.РИЖА;Путильський
с.САМАКОВА;Путильський
с.САРАТА;Путильський
с.СЕЛЯТИН;Путильський
с.СЕРГІЇ;Путильський
с.ШЕПІТ;Путильський
с.ШПЕТКИ;Путильський
с.СОКОЛІЙ;Путильський
с.ТЕСНИЦЬКА;Путильський
с.ТОРАКИ;Путильський
с.ТОВАРНИЦЯ;Путильський
с.УСТЬ-ПУТИЛА;Путильський
с.ВЕЛИКИЙ ЛИПОВЕЦЬ;Путильський
с.ВЕРХНІЙ ЯЛОВЕЦЬ;Путильський
с.ВИПЧИНА;Путильський
с.ЯМИ;Путильський
с.ЗАМОГИЛА;Путильський
с.БІЛОУСІВКА;Сокирянський
с.БРАТАНІВКА;Сокирянський
с.ГРУБНА;Сокирянський
с.ГВІЗДІВЦІ;Сокирянський
с.КОБОЛЧИН;Сокирянський
с.КОРМАНЬ;Сокирянський
с.КУЛІШІВКА;Сокирянський
с.ЛОМАЧИНЦІ;Сокирянський
