raion;kusch;diln;n_diln;vul
Сторожинецький;м.Сторожинець ;м.Сторожинець  730338-1;1;28 Червня#40 років Перемоги#Г. Карюкіна 1, 2, 3, 4, 5, 6, 6А, 7, 8, 8А, 9, 10, 11, 11А, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30#М. Грушевського#М. Нєкрасова 1, 2, 2А, 3, 4, 5, 5А, 7, 8, 10, 11#Небесної Сотні#Недужка#П. Сагайдачного#Першотравнева#пров. 1-й Чернівецький#пров. 2-й Чернівецький#пров. Першотравневий#пров. Чернівецький#С. Лопуляка#Соборна 2, 2А, 4, 6, 8, 12, 14, 20, 30#Українська#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730338-2;2;В. івасюка#Весняна#Гвардійська#Горіхова#і. Мічуріна#Лісова#М. Старицького#П. Видинівського 2-72А, 75, 77#Підлісна#Р. Шухевича#Ропчанська#Садова#Сонячна#Сторожинецька#Шептицького#Щастя#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730338-3;3;Зелена#і. Франка#Копайгородська#Косівська#Л. Толстого#Молодіжна#П. Нікітіна#пров. Косівський#Чернівецька#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730339-4;4;Миру#Гетьманська#Карюкіна 15, 17, 19, 19А, 21, 21А, 23, 25, 27, 29, 33, 35, 36, 37-88#і. Сікорського#Незалежності#Тополина#Ч. Дарвіна#Ягідна#пров. Миру#пров. Незалежності#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730339-5;5;Соборна 3Б, 5, 5А, 7А, 7В, 7Д, 9, 9А, 9Б, 9Д, 11, 13, 13А, 15, 19, 21, 23, 25#Щорса#пров. Соборний#Буковинська#Молдавська#У. Кармелюка#Чкалова
Сторожинецький;м.Сторожинець ;м.Сторожинець  730339-6;6;Чаплигіна#Гастелло#Ю. Дрогобича#Л. Українки#пров. Чаплигіна#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730340-7;7;М. Ватутіна#Реутова#Глибоцька#Житня#О. Кобилянської#Польова#пров. Глибоцький#пров. М. Ватутіна#пров. О. Кобилянської#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730340-8;8;Амурська#Річкова#Марка Вовчка#С. Окуневської#і. Вільде#пров. Амурський#пров. Річковий#Прикарпатська#О. Герцена#пров. О. Герцена#Т. Шевченка#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730341-9;9;Б. Хмельницького 3-55, 57, 59,#Матросова#Залізнична#і. Мазепи#Й. Шмідта#Квітнева#Козацького духу#Коломийська#Кошківська#М. Василька#М. Лєрмонтова#Нова#Н. Яремчука#О. Пушкіна#Промислова#Степова#Фізкультурна#Кривенка#Хотинська#Я. Мудрого#пров. Б. Хмельницького#пров. і. Мазепи#пров. Квітневий#пров. Новий#пров. О. Пушкіна#
Сторожинецький;м.Сторожинець ;м.Сторожинець  730341-10;10;А. Міцкевича#В. Стефаника#Дж. Джамбаєва#Д. Карбишева#Дніпровська#Донська#Зарічна#З. Космодем'янської#і. Виговського#Каштанова#Л. Глібова#М. Горького#П. Чубинського#Патріотична#Прутська#Свободи#С. Ковпака#С. Крушельницької#Шекспіра#Ю. Фучика#пров. Дніпровський#пров. 1-й Дніпровський#пров. 2-й Дніпровський#Ю. Федьковича#
